dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416Y,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1983-04-01,-0.006587125,-0.018474285,-0.0209626,-0.0045819683,-0.031442013,0.0076061646,-0.0028078984,-0.009470579,0.018552443,0.0055628363,0.014145837,0.010958433,-0.006835655,0.017211204,0.0014512006,0.011505722,0.011505722,0.014207658,0.011742427,0.013823053,0.018983757,0.011663628,0.013892822,0.010009475,-0.0007838095,-0.004893091,-1.2226912e-05,-0.00024917844,0.0011401367,0.0011401367,-0.0038408285,0.008815305,-0.0044367425,-0.0047867633,-0.0047867633,-0.0024583084,0.030885061,0.030885061,0.024686178
1983-05-01,-0.008328317,-0.016695071,-0.019497436,-0.0063485424,-0.03186566,0.013715146,4.3034004e-05,-0.0057403822,0.02450756,0.008895442,0.014269788,0.012586474,-0.008929783,0.02691116,0.0046724207,0.014632806,0.014632806,0.017040685,0.019592075,0.019312894,0.020952621,0.014759064,0.016777344,0.01228783,0.006565611,0.0008371141,0.0038901463,0.004960221,0.005930888,0.005930888,-0.0010173459,0.012005337,-0.0007685486,-0.003802452,-0.003802452,-0.0028033918,0.044559732,0.044559732,0.028242536
1983-06-01,-0.0016681287,-0.003318591,-0.0060954345,0.0024719238,-0.016809309,0.013110868,-0.000482234,-0.0092349015,0.0125241745,-0.0003349736,0.013738406,0.012433171,0.00091722276,0.02135168,-0.0011323816,0.02213611,0.02213611,0.018842049,0.029787786,0.030804424,0.028123004,0.017895604,0.017979635,0.026765078,0.016067307,0.014387237,0.019201223,0.020695278,0.021748759,0.021748759,0.01570638,0.018342854,0.010294026,0.0069486327,0.0069486327,-0.0009199876,0.04807968,0.04807968,0.031785753
1983-07-01,-0.0012053946,0.0036360912,0.00016279586,0.010749669,-0.01027362,0.021293374,0.011920138,0.0011150456,0.021777283,0.007255554,0.018698743,0.015316963,0.013255931,0.038720302,0.0077837775,0.03162693,0.03162693,0.028068716,0.034672916,0.030471249,0.024990346,0.01820507,0.023424683,0.019953651,0.019763086,0.010084788,0.014464934,0.019888354,0.01798584,0.01798584,0.013585921,0.017429711,0.010026118,0.006151827,0.006151827,0.00014390211,0.06155192,0.06155192,0.034485288
1983-08-01,-0.00890656,-0.009890043,-0.012574944,-0.0040153256,-0.023414565,0.006815744,-0.0034107964,-0.011582959,0.010535895,-0.0011459927,0.0059611965,0.0057091713,-0.0137925325,0.0061118854,-0.009355972,0.013748392,0.013748392,0.012812274,0.029704021,0.025647758,0.024949176,0.019022847,0.01785502,0.022012474,0.010014196,0.0026217566,0.010136309,0.010982453,0.009805908,0.009805908,0.00525257,0.0041763354,0.00054731994,-0.00030469746,-0.00030469746,-0.0026022105,0.032380167,0.032380167,0.027048323
1983-09-01,-0.0003470256,-0.010003896,-0.0132456925,-0.0064992597,-0.022230444,0.004379652,-0.004177252,-0.0122505,0.011571248,-0.00016755878,0.0051110433,0.0043586493,-0.009812249,0.009798138,-0.0030452954,0.01129597,0.01129597,0.011569062,0.016440662,0.016031297,0.01689148,0.008661556,0.010397848,0.027215963,0.011997641,0.00856622,0.015116241,0.014198424,0.01462799,0.01462799,0.010705231,0.009302295,0.003085888,0.004997612,0.004997612,-0.0022573618,0.023969777,0.023969777,0.02693155
1983-10-01,-0.0059053004,-0.01812079,-0.021392504,-0.015247369,-0.028533936,-0.0039889966,-0.011282785,-0.018854734,0.0021896362,-0.010570454,-0.0010717311,-0.0008176565,-0.015695926,-0.005322871,-0.012797098,0.004275885,0.004275885,0.0013953852,0.0024039433,0.004108089,0.0063004405,-0.004123497,-0.001781718,0.013290551,-0.0029360864,-0.005347358,0.0039267275,0.0010205465,0.0024546306,0.0024546306,-0.0006515083,0.0014245844,-0.0046287845,-0.0055483636,-0.0055483636,-0.0020991398,0.014718119,0.014718119,0.018092684
1983-11-01,-0.008310026,-0.02272738,-0.02669331,-0.01957614,-0.029305879,-0.020865824,-0.022014424,-0.03053194,-0.015419156,-0.022754021,-0.005722118,-0.0053733587,-0.028034916,-0.02375671,-0.023131426,-0.0010758563,-0.0010758563,-0.00779731,-0.005432971,-0.006112681,-0.0017103279,-0.009981632,-0.0046039834,-0.0014596122,-0.011859032,-0.016120063,-0.009375358,-0.0121692475,-0.011481832,-0.011481832,-0.0131343175,-0.007414976,-0.013571956,-0.015280027,-0.015280027,-0.0034792386,0.0059961956,0.0059961956,0.011278789
1983-12-01,-0.013752593,-0.02378767,-0.03581041,-0.022379624,-0.047572073,-0.022167452,-0.024684502,-0.034144424,-0.013238645,-0.02836105,-0.0069888146,-0.0056215525,-0.035908733,-0.026812654,-0.025847131,-0.003993188,-0.003993188,-0.010681152,-0.016923996,-0.01311994,-0.006747168,-0.016447162,-0.0077625527,-0.005850268,-0.019413315,-0.02150631,-0.015140596,-0.019461205,-0.017157288,-0.017157288,-0.016723726,-0.011055614,-0.017333224,-0.019035507,-0.019035507,-0.004557448,0.0004984538,0.0004984538,0.0056847464
1984-01-01,-0.017533194,-0.029304799,-0.039750155,-0.025038393,-0.050979234,-0.021628156,-0.028715212,-0.03700282,-0.009766373,-0.02050594,-0.007732807,-0.006556034,-0.048628066,-0.027541792,-0.02613292,-0.005916986,-0.005916986,-0.009421094,-0.019540615,-0.014125308,-0.005019182,-0.014163399,-0.008616027,-0.005423022,-0.017695077,-0.022687383,-0.017886283,-0.01829834,-0.01652181,-0.01652181,-0.017992586,-0.008821369,-0.016622953,-0.018133277,-0.018133277,-0.0045428937,0.0025230409,0.0025230409,0.0077614253
