,77470,76430,76500,76900,161530,161580,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8025,8019,8416Y,8414A,8500A,9981A,0016A,76,0200E,B893,B228,B278
1985-08-20,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1985-08-21,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1986-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0
1986-06-26,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1986-06-27,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0
1986-06-28,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0
1986-06-29,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1986-08-16,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1986-08-17,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
1986-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
1986-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1986-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
1986-08-23,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,
1986-08-24,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1987-06-03,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1987-06-04,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1987-06-11,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1987-06-12,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1987-06-13,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1987-06-15,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-29,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-01,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1987-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,
1987-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,
1987-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,
1987-07-06,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-19,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-20,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-21,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-22,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-23,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-24,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-25,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-07,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-09,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-10,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-11,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
1987-08-12,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,1.0
1987-08-13,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0
1987-08-14,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0
1987-08-15,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,
1987-08-16,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0
1987-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,
1987-08-19,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-20,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-21,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-22,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-28,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-29,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-30,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-31,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-01,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-04,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-05,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-06,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-07,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-08,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-09,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-10,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-25,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-26,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-27,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-08-01,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
1988-08-02,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1988-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
