dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-02-10,17.017,7.685,14.745,10.98,2.114,7.408,9.303,9.344,10.616,9.831,3.805,4.483,18.648,14.182,17.564,9.177,9.177,8.81,6.318,6.81,5.29,4.2,3.006,7.7,17.729,22.218,14.671,15.57,9.089,9.089,7.038,7.047,5.487,2.27,2.27,2.008,3.946,3.946,7.11
1981-02-11,28.929,16.417,7.871,3.058,8.864,15.161,13.254,13.707,13.084,10.408,6.005,7.137,20.314,14.334,17.216,8.706,8.706,12.538,5.378,6.906,4.203,5.56,4.627,4.01,5.252,4.701,7.802,7.133,6.881,6.881,7.492,7.355,4.438,3.989,3.989,2.372,3.973,3.973,4.997
1981-02-12,4.091,6.91,8.173,5.88,2.025,4.1,8.092,7.248,12.033,15.901,9.104,9.903,12.341,7.749,11.549,4.855,4.855,4.022,8.366,8.988,11.247,12.948,11.99,7.631,9.226,4.353,3.599,4.887,3.739,3.739,1.835,3.142,1.931,4.173,4.173,1.714,2.502,2.502,2.081
1981-02-13,3.605,5.616,5.739,5.506,19.214,3.281,3.403,3.332,6.433,6.327,16.912,12.46,20.483,15.426,20.175,12.36,12.36,6.739,13.099,9.898,16.574,19.722,21.712,8.63,6.356,20.085,22.767,19.166,9.83,9.83,11.023,10.814,7.493,7.197,7.197,13.834,15.998,15.998,18.877
1981-02-14,10.012,12.368,5.544,1.834,8.26,21.955,10.924,8.696,12.892,10.749,13.59,8.891,14.371,7.039,6.674,3.097,3.097,9.389,9.183,3.51,2.213,9.695,9.968,10.67,18.941,8.425,5.379,4.615,3.189,3.189,5.81,6.945,2.803,3.514,3.514,9.022,7.174,7.174,4.924
1981-02-15,4.649,5.18,3.208,2.043,3.619,5.676,3.957,6.287,4.655,5.458,4.261,5.163,13.693,5.628,9.274,2.97,2.97,1.865,13.171,10.839,10.055,8.443,4.372,3.749,23.25,9.586,8.657,7.818,5.666,5.666,9.055,5.447,6.724,4.044,4.044,6.955,4.891,4.891,2.066
1981-02-16,2.835,4.829,4.596,3.522,10.505,7.579,7.652,9.396,5.2,8.704,5.58,5.19,7.971,9.844,9.999,3.88,3.88,3.203,18.083,5.579,8.013,5.056,4.496,5.58,4.089,13.319,14.2,13.05,11.863,11.863,13.313,9.367,7.686,6.003,6.003,10.784,12.507,12.507,15.964
1981-02-17,10.064,11.988,3.972,4.108,8.34,5.158,2.454,4.094,10.484,13.533,7.546,5.333,12.864,10.73,7.102,8.43,8.43,7.479,6.169,19.452,19.06,9.232,10.574,8.85,2.978,6.845,9.19,7.892,7.413,7.413,6.462,6.377,4.253,9.003,9.003,9.441,8.456,8.456,8.649
1981-02-18,21.551,12.0,5.798,4.116,11.473,3.303,3.307,3.716,2.142,2.712,6.027,7.949,9.542,7.922,9.498,9.563,9.563,12.397,12.258,11.369,7.828,11.717,7.755,8.589,8.038,16.231,17.321,12.169,14.735,14.735,12.539,18.024,6.807,4.134,4.134,9.807,8.886,8.886,7.536
1981-02-19,8.603,3.752,5.579,4.433,8.114,6.687,4.333,4.78,6.493,12.206,11.074,12.591,7.202,5.659,7.888,6.719,6.719,9.837,17.986,12.411,13.425,10.292,10.217,18.222,7.46,12.498,12.682,6.95,12.173,12.173,7.798,13.55,11.164,4.633,4.633,5.423,5.51,5.51,6.805
