dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1993-06-29,11.603316,32.218002,1.8946474,7.402434,14.692985,1.6613866,3.6192944,4.04288,3.44651,2.3197865,-4.28408e-05,-4.28408e-05,1.2105143,0.75413847,1.0230243,-4.28408e-05,-4.28408e-05,5.6951494,-4.28408e-05,-4.28408e-05,0.033501536,-4.28408e-05,0.008577481,-4.28408e-05,-4.28408e-05,-4.28408e-05,-4.28408e-05,-4.28408e-05,-4.28408e-05,-4.28408e-05,-4.28408e-05,-4.28408e-05,-4.28408e-05,1.7812158,3.610684,-4.28408e-05,-4.28408e-05,-4.28408e-05,-4.28408e-05
1993-06-30,24.498161,0.45287982,0.034334138,5.544506,43.300575,19.144224,14.283405,14.392593,21.969257,3.6898775,0.0142380595,0.0142380595,130.29108,10.207019,22.485832,0.13003312,0.31989065,7.301431,0.0142380595,0.0142380595,0.0142380595,0.0142380595,0.0142380595,0.0142380595,0.0142380595,0.0142380595,0.0142380595,0.0142380595,0.054184347,0.14046393,0.42065793,3.4921,12.965113,25.89538,38.83365,0.014880672,0.38998765,0.38998765,0.0142380595
1993-07-01,22.084486,2.3981056,12.151106,37.31611,57.0495,0.011574477,0.31813046,0.06299093,12.914972,14.459283,0.011574477,0.011574477,8.180216,0.011574477,0.011574477,0.036077574,0.06960891,0.011574477,0.011574477,0.10565482,0.5482752,0.011574477,0.034745783,0.011574477,0.012863427,0.3011413,11.856676,9.762225,17.71907,17.904787,12.25379,127.279,137.29376,60.100536,86.49269,1.174163,8.422017,8.422017,6.3820276
1993-07-02,24.219774,0.94118536,16.475086,4.6804066,43.753113,0.0,1.0147841,1.1913927,1.0399752,0.85722756,0.9801772,0.07764809,4.7107615,16.71766,2.4453928,41.03762,45.002224,13.56297,0.0,7.9332223,0.80665404,0.25504643,1.2964858,1.8766234,3.4374008,10.602138,5.781401,5.1670322,35.42338,29.141571,10.718161,46.14514,108.04873,52.042217,90.197,0.0013932586,0.04776288,0.04776288,12.957347
1993-07-03,0.028205104,0.26061293,0.0043865293,0.027105212,2.8428414,0.0043865293,1.7036135,2.0762522,0.47845203,0.35435617,0.0043865293,0.047543086,1.2980977,0.51157725,0.43991864,3.6440837,5.97407,18.149166,22.736504,3.2735043,0.8503645,0.0049583614,0.0043865293,4.236943,5.5075088,33.34303,22.205616,21.543264,12.892071,12.023771,1.7058609,3.3701305,2.7903042,0.08559786,0.5153781,0.0814097,0.76247096,0.76247096,1.6999346
1993-07-04,0.1467485,0.0043027103,0.0043027103,0.0043027103,0.0043027103,0.9667573,0.0043027103,0.050304458,0.0043027103,0.0043027103,0.0043027103,0.0043027103,0.11363439,0.0043027103,0.36028206,0.0043027103,0.0043027103,0.6712564,12.81614,0.38957223,0.31938404,0.06066076,0.0043027103,0.0043027103,0.0043027103,0.2684854,0.5136224,0.06600283,0.73208284,0.48570323,0.08855015,0.0043027103,0.13591722,0.6227101,0.017154962,0.0043027103,0.11964515,0.11964515,0.032298267
1993-07-05,11.877757,25.858795,0.28699264,0.0,0.15961565,0.0336878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053662807,0.0,0.0,0.0,0.0,0.5469006,0.005574897,0.7415712,0.09523332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011546537,0.38539618,10.9095745,0.0,0.0,0.079806894,0.098418444,0.0,0.0,0.0
1993-07-06,0.30003676,7.836369,12.601904,12.1215515,100.555466,3.110193,4.2855625,2.5045276,0.021900982,0.03048219,0.015387312,0.015387312,1.4298912,3.3309574,21.693676,0.015387312,0.015387312,0.058567148,0.015387312,0.015387312,0.26798433,0.023001805,0.015387312,0.015387312,0.015387312,0.015387312,0.015387312,0.015387312,0.015387312,0.015387312,0.015387312,0.015387312,0.040967017,1.9614564,4.1109195,0.9955371,3.5932562,3.5932562,0.015387312
1993-07-07,-8.75443e-05,-8.75443e-05,0.43412486,76.39359,-8.75443e-05,0.0005923212,7.635106,11.404917,5.1566067,21.855528,1.039071,0.58436763,0.36501884,3.190292,13.400581,-8.75443e-05,-8.75443e-05,1.3732537,0.019527972,0.02243556,3.2289927,-8.75443e-05,-8.75443e-05,-8.75443e-05,-8.75443e-05,1.3749783,1.9983839,1.1087397,0.91472465,1.3807397,0.020809472,-8.75443e-05,0.18277578,43.608414,51.221104,-8.75443e-05,0.7945746,0.7945746,0.10907464
1993-07-08,0.033289194,0.033289194,0.033289194,0.055743378,3.4171395,0.033289194,0.08855946,0.48512036,0.033289194,0.033289194,0.033289194,0.49819055,0.06542541,0.033289194,0.93255013,0.033289194,0.033289194,0.033289194,0.033289194,0.033289194,0.033289194,0.033289194,0.033289194,0.04196167,0.033289194,0.033289194,0.033289194,0.033289194,0.2489239,0.41590816,0.25522894,0.033289194,0.046554953,0.04859455,0.047914684,0.033289194,0.033289194,0.033289194,0.033289194
1993-07-09,0.028982759,0.13759919,0.026587397,0.3509279,2.396021,0.026587397,0.026587397,0.026587397,0.026587397,0.026587397,0.026587397,0.026587397,0.036355108,0.026587397,0.026587397,0.026587397,0.026587397,0.026587397,0.09035319,0.2848897,0.06205961,0.026587397,0.026587397,0.026587397,0.026587397,0.026587397,0.062236562,0.026587397,0.026587397,0.026587397,0.026587397,0.04268624,0.026587397,0.026587397,0.026587397,0.026587397,0.026587397,0.026587397,0.026587397
1993-07-10,23.740255,148.31433,52.090782,11.503659,15.383088,0.567209,0.12507662,0.024780631,0.0,0.0,0.0,0.034023076,1.4722979,0.8052327,4.2754784,0.011615455,0.0,0.11684745,0.002041459,0.0,0.034682453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24125724,0.62055886,84.853065,0.92660254,1.2438744,6.1677656,12.614627,0.48704445,0.5125031,0.5125031,0.20957738
1993-07-11,1.8626e-06,0.015918165,1.8626e-06,0.1808349,54.13667,22.189402,21.207188,22.87078,6.43509,1.4695357,0.07441826,0.017974526,0.959808,0.7248279,11.143379,0.044498593,0.049395487,0.6299503,1.8626e-06,0.064196065,4.5029125,0.3925655,1.8626e-06,1.8626e-06,1.8626e-06,0.015925616,0.012228265,0.0061113387,0.12637302,0.31998938,0.5327426,1.8626e-06,1.8626e-06,116.56516,107.76186,1.8626e-06,2.1762145,2.1762145,1.8626e-06
1993-07-12,0.039661303,4.28408e-05,4.28408e-05,0.1890026,76.768486,0.038035214,0.5039592,0.631867,4.28408e-05,0.045645982,0.016285107,0.92429876,0.015763566,4.28408e-05,0.108862296,4.28408e-05,4.28408e-05,4.28408e-05,0.13711676,4.28408e-05,1.3705214,4.28408e-05,4.28408e-05,10.73937,4.28408e-05,0.01466088,0.14850497,0.1650732,0.18574484,0.5579946,4.28408e-05,4.28408e-05,1.0020621,34.9188,47.284447,0.022282824,1.2824799,1.2824799,4.28408e-05
1993-07-13,0.03869459,0.0033564863,0.0033564863,0.018846244,0.0033564863,0.5865134,0.0033564863,0.0033564863,0.649523,1.7204729,0.0033564863,0.016588718,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,0.0033564863,2.1553974,1.4660358,0.018846244,0.8034407,30.566332,18.426796,26.720783,0.0033564863,2.2924504,2.2924504,0.034332275
1993-07-14,0.077109784,0.016972423,0.016972423,0.016972423,0.026132911,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.016972423,0.037450343,0.25872514,0.04435703,0.076033175,0.016972423,0.016972423,0.016972423,0.016972423
