time,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-11-26,ANE,ANE,ANE,ANE,ANE,NE,NE,NE,CNE,CNE,C,C,NE,NE,NE,NE,NE,NE,A,A,N,N,C,A,A,AE,AE,AE,AE,AE,A,A,A,ANE,ANE,NE,NE,NE,NE
1981-11-27,ANW,ANW,ANW,ANW,ANW,A,AN,AN,N,NE,N,N,A,A,A,AN,AN,A,A,A,A,AN,N,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-11-28,N,N,N,N,N,CNW,C,C,C,C,NW,NW,CNW,NW,NW,NW,NW,NW,A,NW,NW,NW,NW,AN,N,N,N,N,N,N,N,N,N,N,N,NW,NW,NW,NW
1981-11-29,N,N,N,N,N,C,C,C,C,C,CNW,C,N,N,N,C,C,N,N,N,NW,NW,CNW,NE,NE,NE,N,N,N,N,NE,NE,N,N,N,N,N,N,N
1981-11-30,N,NW,NW,NW,NW,N,C,N,CNW,CNW,NW,CNW,N,N,N,N,N,N,A,AN,N,N,N,AE,ANE,A,A,A,A,A,A,A,AN,AN,AN,AN,AN,AN,AN
1981-12-01,C,C,C,C,C,C,C,C,C,CW,W,W,C,CNW,C,CNW,CNW,CNW,A,NW,NW,NW,NW,A,A,A,N,N,N,N,N,N,N,N,N,CNW,NW,NW,NW
1981-12-02,NE,NE,NE,NE,NE,C,C,C,C,C,CNW,C,CNE,CNE,NE,C,C,CNE,C,C,C,C,C,C,C,C,CNE,CNE,NE,NE,NE,NE,NE,NE,NE,NE,CNE,CNE,CNE
1981-12-03,NE,NE,NE,NE,NE,E,CE,CE,C,C,C,C,NE,NE,NE,CNE,CNE,NE,NE,CNE,CNE,C,C,E,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
1981-12-05,N,N,N,N,N,C,C,C,C,C,CNW,C,N,N,N,C,C,C,NW,NW,NW,NW,NW,A,NW,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1981-12-06,NW,W,W,W,W,W,SW,C,C,C,W,W,C,C,C,CW,CW,C,C,CW,CW,W,W,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1981-12-07,NW,NW,NW,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,C,C,W,W,W,ANW,NW,NW,NW,NW,NW,NW,NW,ANW,ANW,NW,NW,NW,NW,NW,NW
1981-12-08,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,ANW,W,W,W,W,ANW,ANW,ANW,ANW,ANW,NW,NW,NW,W,W,W,W,W,W,W,ANW
1981-12-09,W,NW,NW,NW,NW,W,W,W,W,W,W,W,W,W,W,W,W,W,AW,W,W,W,W,W,W,W,W,W,NW,NW,W,W,W,W,W,W,W,W,W
1981-12-10,W,CW,W,W,W,CW,W,W,W,W,W,W,W,W,W,W,W,W,AW,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
1981-12-11,W,CW,CW,CW,CW,CW,CW,CW,CW,SW,W,W,CW,CW,CW,W,W,W,ANW,W,W,W,W,ANW,ANW,NW,NW,NW,NW,NW,NW,W,W,W,W,W,W,W,NW
1981-12-12,CNW,C,C,C,C,C,CW,CW,CW,CW,W,W,CNW,CW,CNW,CW,CW,CW,ANW,W,W,W,W,ANW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1981-12-13,CW,CW,C,C,C,C,C,C,C,C,CW,CW,C,C,C,CNW,CNW,C,ANW,W,W,W,W,ANW,NW,NW,NW,NW,NW,NW,NW,W,W,W,W,W,NW,NW,NW
1981-12-14,NW,NW,NW,W,W,W,W,W,CW,CW,W,W,W,W,W,NW,NW,NW,ANW,NW,NW,NW,NW,ANW,ANW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
